iter	RMSE
0	697.0316919
1	687.3235411
2	677.2537255
3	667.2340588
4	658.4809925
5	650.7231169
6	642.9736195
7	635.4699996
8	627.4412488
9	620.1721439
10	612.9239566
11	606.3190831
12	600.1527404
13	594.2021728
14	589.2642693
15	584.7962062
16	580.5844361
17	575.8240041
18	570.4555103
19	566.7517608
20	562.6358677
21	558.9773975
22	555.0669825
23	551.546619
24	548.456062
25	544.9279727
26	542.0634029
27	539.2499016
28	536.8337283
29	533.251377
30	531.1327623
31	528.4260853
32	525.4820331
33	523.2799854
34	520.4440684
35	518.4210676
36	515.9664365
37	514.2494816
38	511.8591975
39	509.7298704
40	507.6315522
41	505.9278773
42	503.8194592
43	501.7972906
44	500.2381528
45	498.4067925
46	496.3917357
47	494.7836929
48	492.970026
49	491.4284231
50	489.6375338
51	488.1714558
52	486.5798126
53	484.9748169
54	483.2160041
55	481.0443355
56	479.409155
57	478.0839948
58	476.4719835
59	475.1961649
60	473.6137954
61	472.5310926
62	471.2152049
63	469.2902001
64	468.3211019
65	467.2152814
66	465.8147656
67	464.4940137
68	463.4051891
69	462.2463093
70	461.1743547
71	460.1757567
72	458.9003568
73	458.2982437
74	456.8474364
75	455.7218925
76	454.1176311
77	453.1708172
78	452.1148658
79	451.1568889
80	450.2296705
81	449.2397291
82	448.2225585
83	446.9083599
84	445.8487388
85	445.0541483
86	444.1650429
87	443.0973015
88	441.8029443
89	440.6475046
90	439.4538365
91	438.1920751
92	437.9250589
93	436.629146
94	435.3668026
95	433.9641261
96	433.0104247
97	432.0173231
98	431.2783317
99	430.7221193
100	429.7019505
101	428.9600475
102	428.0676615
103	427.6985061
104	426.6141348
105	425.7586502
106	424.5887087
107	423.6530637
108	422.981664
109	422.1488659
110	421.2558673
111	420.5626914
112	419.9222931
113	419.1006176
114	418.3591391
115	417.2758564
116	416.4996596
117	415.640036
118	414.5980106
119	413.8674523
120	413.3169976
121	412.1570421
122	411.1311528
123	410.2392305
124	409.4419753
125	408.983766
126	408.4358039
127	407.7662886
128	406.7551759
129	406.1467627
130	405.2029368
131	404.4243937
132	403.0967936
133	402.3674375
134	401.5986977
135	400.6774239
136	399.1563147
137	398.3509656
138	397.8300587
139	397.2691206
140	395.9120897
141	395.2759667
142	394.1476043
143	393.24462
144	392.1231376
145	391.2286446
146	390.4035066
147	389.4504704
148	388.9740924
149	388.0106621
150	387.0418965
151	386.4744896
152	385.7195025
153	384.946071
154	383.9346113
155	383.5042239
156	383.0380804
157	382.0509438
158	381.2913644
159	380.9075836
160	380.0329509
161	379.399825
162	378.9310855
163	378.2074014
164	377.6656718
165	377.1027743
166	376.2386469
167	375.0139684
168	374.3032124
169	373.4290472
170	372.8882026
171	372.2005754
172	371.0614747
173	370.3273282
174	369.9684745
175	369.6488497
176	369.3035354
177	368.7455071
178	368.1553537
179	367.7929234
180	367.5555571
181	366.734007
182	365.7305011
183	364.9963179
184	364.3742581
185	363.9429966
186	363.4328209
187	363.1819789
188	362.1204505
189	361.2031242
190	360.1954115
191	359.2203264
192	358.0825591
193	357.8324447
194	356.9404278
195	356.5417792
196	355.2440755
197	354.5780148
198	353.9636645
199	353.367769
200	352.4762192
201	351.9426558
202	351.5829801
203	350.7656904
204	350.4220452
205	349.6572297
206	348.8003775
207	348.346418
208	347.642522
209	346.7638027
210	345.7140575
211	345.3096592
212	344.4586654
213	344.1138161
214	343.6256807
215	343.3624582
216	342.527521
217	341.0898373
218	340.8514236
219	339.725385
220	338.5517234
221	337.5429023
222	336.8244636
223	335.9955055
224	335.7387095
225	334.9606555
226	334.6784045
227	334.312903
228	333.3800506
229	332.5464661
230	332.1392073
231	331.6349397
232	331.2684898
233	330.9329264
234	329.9567076
235	329.1442677
236	328.5871964
237	327.9848334
238	327.3647441
239	327.1059097
240	326.4835956
241	326.1318976
242	325.2213297
243	324.9483729
244	324.290871
245	324.0127284
246	323.399528
247	322.7097173
248	322.1809691
249	321.5888036
250	320.7691748
251	320.149239
252	319.6012568
253	319.3208581
254	318.1396955
255	317.2288038
256	316.9505776
257	316.5781416
258	315.7399016
259	315.4343423
260	314.8874068
261	314.6356786
262	313.854978
263	313.4359553
264	313.0517265
265	312.2769426
266	311.7875967
267	311.0977464
268	310.6787607
269	310.3116208
270	309.8475664
271	308.8724568
272	308.6069996
273	308.2169729
274	307.7541061
275	307.3984772
276	306.5768547
277	305.9430165
278	305.2779147
279	304.8264866
280	304.3075247
281	303.9932026
282	303.7427797
283	303.1681018
284	302.0044565
285	301.5886775
286	301.1893246
287	300.7945546
288	300.2904617
289	299.3127519
290	298.7624095
291	297.8071127
292	297.4147349
293	296.8212309
294	295.9860722
295	295.3795494
296	294.4669791
297	294.1604875
298	293.4620119
299	293.0528517
